Date;CPI Total;Nahrungsmittel und alkoholfreie Getränke;Nahrungsmittel;Brot, Mehl und Getreideprodukte;Fleisch, Fleischwaren;Milch, Käse, Eier;Früchte, Gemüse, Kartoffeln und Pilze
31.10.1993;87.9629;90.6541;90.2746;97.722;77.1023;108.6559;85.8167
30.11.1993;87.8444;90.6034;90.2193;97.741;77.2773;108.5724;85.3256
31.12.1993;87.9542;91.6501;91.1884;97.7484;78.6935;108.5758;87.3801
31.01.1994;88.0571;91.7347;91.2753;97.8227;78.7127;108.5447;87.6168
28.02.1994;88.4146;92.0103;91.5746;97.8582;78.7802;108.7719;88.7587
31.03.1994;88.416;91.8368;91.471;97.7674;78.493;108.6684;89.2174
30.04.1994;88.4621;91.7262;91.3652;97.8539;77.8142;108.782;89.3761
31.05.1994;87.913;91.6695;91.2971;97.8764;77.5867;108.2926;89.9798
30.06.1994;88.0514;92.5029;92.2648;98.0001;78.0584;108.2945;93.4148
31.07.1994;88.0362;92.401;92.1451;97.973;78.321;108.2268;92.4824
31.08.1994;88.3819;91.9113;91.5914;97.9807;78.4691;107.9575;90.0032
30.09.1994;88.4176;92.3335;91.9371;97.9923;78.9617;107.928;91.3173
31.10.1994;88.3448;92.088;91.5856;97.8492;78.4007;107.909;90.8618
30.11.1994;88.3385;91.1897;90.5553;97.872;78.748;108.0381;85.888
31.12.1994;88.3237;91.1651;90.3954;97.9419;78.2294;108.1059;85.6036
31.01.1995;88.9508;92.5269;91.8231;99.7565;78.5483;109.1082;89.3438
28.02.1995;89.7438;93.4916;92.8506;100.067;78.3349;109.5891;93.5578
31.03.1995;89.7989;92.906;92.1903;99.8092;77.9282;109.5639;91.0338
30.04.1995;89.8744;92.9003;92.1796;99.5693;77.39;109.5754;91.9409
31.05.1995;89.7051;92.5;91.7384;99.5971;76.6798;109.4688;91.0928
30.06.1995;89.8831;93.5016;92.812;99.6316;76.7091;109.5113;95.6972
31.07.1995;89.8225;93.3301;92.6205;99.6094;77.2349;109.1943;94.3571
31.08.1995;90.1071;92.3876;91.6402;99.5938;76.417;109.1867;91.2591
30.09.1995;90.1842;92.4304;91.6945;99.5652;76.4109;109.2292;91.5745
31.10.1995;90.0864;91.8667;91.0923;99.5999;75.7937;108.9457;90.1021
30.11.1995;90.0193;91.0877;90.3191;99.5647;75.862;109.0212;86.545
31.12.1995;90.0443;91.0291;90.2557;99.5121;75.3188;108.9211;87.0537
31.01.1996;90.3014;92.0693;91.3761;99.4852;76.007;108.9029;91.0119
29.02.1996;90.446;92.1374;91.4464;99.3779;75.2264;108.9694;92.632
31.03.1996;90.6057;92.6913;92.1225;99.1286;75.3949;107.7431;96.5469
30.04.1996;90.6935;92.7866;92.2814;99.2377;76.7383;106.167;96.4729
31.05.1996;90.3623;92.2039;91.6554;99.1536;76.2442;106.0358;94.5665
30.06.1996;90.5386;93.432;92.964;99.1607;77.9388;105.9723;97.9329
31.07.1996;90.412;92.6693;92.1431;99.1261;78.3469;105.714;93.9219
31.08.1996;90.6458;91.7118;91.1134;99.1609;77.8758;105.689;89.9058
30.09.1996;90.6986;91.5452;90.9088;99.1911;77.9116;105.6394;88.8199
